Time: 0.000000    Ax: 0.093227    Ay: 0.625047    Az: 0.093227
Time: 0.100000    Ax: 2.364511    Ay: 15.848023    Az: 2.364511
Time: 0.200000    Ax: 2.277400    Ay: 15.407678    Az: 2.277400
Time: 0.300000    Ax: 2.576907    Ay: 16.754169    Az: 2.576907
Time: 0.400000    Ax: 2.518919    Ay: 16.668195    Az: 2.518919
Time: 0.500000    Ax: 2.409064    Ay: 16.731868    Az: 2.409064
Time: 0.600000    Ax: 2.227515    Ay: 16.926634    Az: 2.227515
Time: 0.700000    Ax: 1.971123    Ay: 17.287136    Az: 1.971123
Time: 0.800000    Ax: 1.641564    Ay: 17.822206    Az: 1.641564
Time: 0.900000    Ax: 1.250390    Ay: 18.523066    Az: 1.250390
Time: 1.000000    Ax: 0.820509    Ay: 19.355578    Az: 0.820509
Time: 1.100000    Ax: 0.388878    Ay: 20.252667    Az: 0.388878
Time: 1.200000    Ax: 0.004080    Ay: 21.114764    Az: 0.004080
Time: 1.300000    Ax: -0.280432    Ay: 21.820488    Az: -0.280432
Time: 1.400000    Ax: -0.416159    Ay: 22.244650    Az: -0.416159
Time: 1.500000    Ax: -0.373608    Ay: 22.288244    Az: -0.373608
Time: 1.600000    Ax: -0.156247    Ay: 21.912385    Az: -0.156247
Time: 1.700000    Ax: 0.189752    Ay: 21.169071    Az: 0.189752
Time: 1.800000    Ax: 0.577548    Ay: 20.211918    Az: 0.577548
Time: 1.900000    Ax: 0.896371    Ay: 19.275045    Az: 0.896371
Time: 2.000000    Ax: 1.045781    Ay: 18.609309    Az: 1.045781
Time: 2.100000    Ax: 0.975570    Ay: 18.390802    Az: 0.975570
Time: 2.200000    Ax: 0.716066    Ay: 18.632962    Az: 0.716066
Time: 2.300000    Ax: 0.377955    Ay: 19.077849    Az: 0.377955
Time: 2.400000    Ax: 0.103951    Ay: 18.726426    Az: 0.103951
Time: 2.500000    Ax: -0.117726    Ay: 7.193465    Az: -0.117726
Time: 2.600000    Ax: -0.025044    Ay: 6.185996    Az: -0.025044
Time: 2.700000    Ax: 0.134600    Ay: 5.103763    Az: 0.134600
Time: 2.800000    Ax: 0.261382    Ay: 4.079612    Az: 0.261382
Time: 2.900000    Ax: 0.287806    Ay: 3.269139    Az: 0.287806
Time: 3.000000    Ax: 0.208372    Ay: 2.746533    Az: 0.208372
Time: 3.100000    Ax: 0.076590    Ay: 2.530834    Az: 0.076590
Time: 3.200000    Ax: -0.037433    Ay: 2.447652    Az: -0.037433
Time: 3.300000    Ax: -0.121297    Ay: 0.352403    Az: -0.121297
Time: 3.400000    Ax: -0.088037    Ay: 0.057127    Az: -0.088037
Time: 3.500000    Ax: -0.017283    Ay: -0.323277    Az: -0.017283
Time: 3.600000    Ax: 0.045877    Ay: -0.706589    Az: 0.045877
Time: 3.700000    Ax: 0.068296    Ay: -1.007346    Az: 0.068296
Time: 3.800000    Ax: 0.043504    Ay: -1.186077    Az: 0.043504
Time: 3.900000    Ax: -0.009950    Ay: -1.227168    Az: -0.009950
Time: 4.000000    Ax: -0.062554    Ay: -1.164658    Az: -0.062554
Time: 4.100000    Ax: -0.091306    Ay: -1.118916    Az: -0.091306
Time: 4.200000    Ax: -0.086721    Ay: -1.128718    Az: -0.086721
Time: 4.300000    Ax: -0.056322    Ay: -1.196461    Az: -0.056322
Time: 4.400000    Ax: -0.018062    Ay: -1.293838    Az: -0.018062
Time: 4.500000    Ax: 0.009307    Ay: -1.379883    Az: 0.009307
Time: 4.600000    Ax: 0.011912    Ay: -1.538864    Az: 0.011912
Time: 4.700000    Ax: -0.002580    Ay: -1.509519    Az: -0.002580
Time: 4.800000    Ax: -0.028147    Ay: -1.445866    Az: -0.028147
Time: 4.900000    Ax: -0.052015    Ay: -1.372262    Az: -0.052015
Time: 5.000000    Ax: -0.064021    Ay: -1.314547    Az: -0.064021
Time: 5.100000    Ax: -0.060629    Ay: -1.287876    Az: -0.060629
Time: 5.200000    Ax: -0.045290    Ay: -1.292109    Az: -0.045290
Time: 5.300000    Ax: -0.025308    Ay: -1.315092    Az: -0.025308
Time: 5.400000    Ax: 0.001504    Ay: -1.344242    Az: 0.001504
Time: 5.500000    Ax: 0.017932    Ay: -1.358681    Az: 0.017932
Time: 5.600000    Ax: 0.017403    Ay: -1.348109    Az: 0.017403
Time: 5.700000    Ax: 0.002610    Ay: -1.314316    Az: 0.002610
Time: 5.800000    Ax: -0.018430    Ay: -1.267844    Az: -0.018430
Time: 5.900000    Ax: -0.036284    Ay: -1.222907    Az: -0.036284
Time: 6.000000    Ax: -0.044273    Ay: -1.190938    Az: -0.044273
Time: 6.100000    Ax: -0.040503    Ay: -1.176686    Az: -0.040503
Time: 6.200000    Ax: -0.027415    Ay: -1.178132    Az: -0.027415
Time: 6.300000    Ax: -0.010331    Ay: -1.188194    Az: -0.010331
Time: 6.400000    Ax: 0.004701    Ay: -1.197774    Az: 0.004701
Time: 6.500000    Ax: 0.013185    Ay: -1.199228    Az: 0.013185
Time: 6.600000    Ax: 0.013565    Ay: -1.188959    Az: 0.013565
Time: 6.700000    Ax: 0.007253    Ay: -1.167949    Az: 0.007253
Time: 6.800000    Ax: -0.002367    Ay: -1.140612    Az: -0.002367
Time: 6.900000    Ax: -0.011382    Ay: -1.112762    Az: -0.011382
Time: 7.000000    Ax: -0.016675    Ay: -1.089536    Az: -0.016675
Time: 7.100000    Ax: -0.016753    Ay: -1.073924    Az: -0.016753
Time: 7.200000    Ax: -0.011980    Ay: -1.066151    Az: -0.011980
Time: 7.300000    Ax: -0.004232    Ay: -1.063929    Az: -0.004232
Time: 7.400000    Ax: 0.004068    Ay: -1.063775    Az: 0.004068
Time: 7.500000    Ax: 0.010809    Ay: -1.062363    Az: 0.010809
Time: 7.600000    Ax: 0.014627    Ay: -1.057274    Az: 0.014627
Time: 7.700000    Ax: 0.015050    Ay: -1.047322    Az: 0.015050
Time: 7.800000    Ax: 0.012886    Ay: -1.033403    Az: 0.012886
Time: 7.900000    Ax: 0.010553    Ay: -1.019348    Az: 0.010553
Time: 8.000000    Ax: 0.008071    Ay: -1.004509    Az: 0.008071
Time: 8.100000    Ax: 0.006080    Ay: -0.989693    Az: 0.006080
Time: 8.200000    Ax: 0.005228    Ay: -0.976082    Az: 0.005228
Time: 8.300000    Ax: 0.005725    Ay: -0.964338    Az: 0.005725
Time: 8.400000    Ax: 0.007565    Ay: -0.954885    Az: 0.007565
Time: 8.500000    Ax: 0.010437    Ay: -0.947609    Az: 0.010437
Time: 8.600000    Ax: 0.013734    Ay: -0.941726    Az: 0.013734
Time: 8.700000    Ax: 0.016757    Ay: -0.936113    Az: 0.016757
Time: 8.800000    Ax: 0.018970    Ay: -0.929797    Az: 0.018970
Time: 8.900000    Ax: 0.020149    Ay: -0.922244    Az: 0.020149
Time: 9.000000    Ax: 0.020377    Ay: -0.913378    Az: 0.020377
Time: 9.100000    Ax: 0.019923    Ay: -0.903423    Az: 0.019923
Time: 9.200000    Ax: 0.019123    Ay: -0.892749    Az: 0.019123
Time: 9.300000    Ax: 0.018329    Ay: -0.881830    Az: 0.018329
Time: 9.400000    Ax: 0.017848    Ay: -0.871175    Az: 0.017848
Time: 9.500000    Ax: 0.017894    Ay: -0.861217    Az: 0.017894
Time: 9.600000    Ax: 0.018545    Ay: -0.852228    Az: 0.018545
Time: 9.700000    Ax: 0.019735    Ay: -0.844255    Az: 0.019735
Time: 9.800000    Ax: 0.021286    Ay: -0.837143    Az: 0.021286
Time: 9.900000    Ax: 0.022964    Ay: -0.830599    Az: 0.022964
Time: 10.000000    Ax: 0.024516    Ay: -0.824233    Az: 0.024516
Time: 10.100000    Ax: 0.025746    Ay: -0.817679    Az: 0.025746
Time: 10.200000    Ax: 0.026548    Ay: -0.810682    Az: 0.026548
Time: 10.300000    Ax: 0.026919    Ay: -0.803141    Az: 0.026919
Time: 10.400000    Ax: 0.026942    Ay: -0.795105    Az: 0.026942
Time: 10.500000    Ax: 0.026773    Ay: -0.786739    Az: 0.026773
Time: 10.600000    Ax: 0.026553    Ay: -0.778248    Az: 0.026553
Time: 10.700000    Ax: 0.026343    Ay: -0.769797    Az: 0.026343
Time: 10.800000    Ax: 0.026529    Ay: -0.761736    Az: 0.026529
Time: 10.900000    Ax: 0.026705    Ay: -0.753901    Az: 0.026705
Time: 11.000000    Ax: 0.023029    Ay: -0.744004    Az: 0.023029
Time: 11.100000    Ax: 0.007944    Ay: -0.727462    Az: 0.007944
Time: 11.200000    Ax: -0.005387    Ay: -0.712261    Az: -0.005387
Time: 11.300000    Ax: -0.013883    Ay: -0.700215    Az: -0.013883
Time: 11.400000    Ax: -0.016819    Ay: -0.691693    Az: -0.016819
Time: 11.500000    Ax: -0.014398    Ay: -0.686497    Az: -0.014398
Time: 11.600000    Ax: -0.007729    Ay: -0.683888    Az: -0.007729
Time: 11.700000    Ax: 0.001567    Ay: -0.682837    Az: 0.001567
Time: 11.800000    Ax: 0.011696    Ay: -0.682231    Az: 0.011696
Time: 11.900000    Ax: 0.020956    Ay: -0.681038    Az: 0.020956
Time: 12.000000    Ax: 0.027978    Ay: -0.678445    Az: 0.027978
Time: 12.100000    Ax: 0.031878    Ay: -0.673948    Az: 0.031878
Time: 12.200000    Ax: 0.032302    Ay: -0.667372    Az: 0.032302
Time: 12.300000    Ax: 0.029452    Ay: -0.658880    Az: 0.029452
Time: 12.400000    Ax: 0.023979    Ay: -0.648906    Az: 0.023979
Time: 12.500000    Ax: 0.016807    Ay: -0.638037    Az: 0.016807
Time: 12.600000    Ax: 0.008955    Ay: -0.626904    Az: 0.008955
Time: 12.700000    Ax: 0.001421    Ay: -0.616118    Az: 0.001421
Time: 12.800000    Ax: -0.004958    Ay: -0.606173    Az: -0.004958
Time: 12.900000    Ax: -0.009555    Ay: -0.597430    Az: -0.009555
Time: 13.000000    Ax: -0.012077    Ay: -0.590040    Az: -0.012077
Time: 13.100000    Ax: -0.012497    Ay: -0.583992    Az: -0.012497
Time: 13.200000    Ax: -0.011074    Ay: -0.579104    Az: -0.011074
Time: 13.300000    Ax: -0.008265    Ay: -0.575084    Az: -0.008265
Time: 13.400000    Ax: -0.004617    Ay: -0.571587    Az: -0.004617
Time: 13.500000    Ax: -0.000682    Ay: -0.568276    Az: -0.000682
Time: 13.600000    Ax: 0.003043    Ay: -0.564850    Az: 0.003043
Time: 13.700000    Ax: 0.006135    Ay: -0.561058    Az: 0.006135
Time: 13.800000    Ax: 0.008270    Ay: -0.556711    Az: 0.008270
Time: 13.900000    Ax: 0.009258    Ay: -0.551703    Az: 0.009258
Time: 14.000000    Ax: 0.009046    Ay: -0.546016    Az: 0.009046
Time: 14.100000    Ax: 0.007723    Ay: -0.539715    Az: 0.007723
Time: 14.200000    Ax: 0.005478    Ay: -0.532926    Az: 0.005478
Time: 14.300000    Ax: 0.002579    Ay: -0.525819    Az: 0.002579
Time: 14.400000    Ax: -0.000652    Ay: -0.518592    Az: -0.000652
Time: 14.500000    Ax: -0.003910    Ay: -0.511431    Az: -0.003910
Time: 14.600000    Ax: -0.006930    Ay: -0.504494    Az: -0.006930
Time: 14.700000    Ax: -0.009491    Ay: -0.497908    Az: -0.009491
Time: 14.800000    Ax: -0.011440    Ay: -0.491760    Az: -0.011440
Time: 14.900000    Ax: -0.012698    Ay: -0.486091    Az: -0.012698
Time: 15.000000    Ax: -0.013240    Ay: -0.480901    Az: -0.013240
Time: 15.100000    Ax: -0.013151    Ay: -0.476151    Az: -0.013151
Time: 15.200000    Ax: -0.012507    Ay: -0.471774    Az: -0.012507
Time: 15.300000    Ax: -0.011317    Ay: -0.467672    Az: -0.011317
Time: 15.400000    Ax: -0.010356    Ay: -0.463774    Az: -0.010356
Time: 15.500000    Ax: -0.010690    Ay: -0.460025    Az: -0.010690
Time: 15.600000    Ax: -0.012800    Ay: -0.456352    Az: -0.012800
Time: 15.700000    Ax: -0.015100    Ay: -0.452612    Az: -0.015100
Time: 15.800000    Ax: -0.016780    Ay: -0.448713    Az: -0.016780
Time: 15.900000    Ax: -0.018084    Ay: -0.444626    Az: -0.018084
Time: 16.000000    Ax: -0.018878    Ay: -0.440326    Az: -0.018878
Time: 16.100000    Ax: -0.019214    Ay: -0.435816    Az: -0.019214
Time: 16.200000    Ax: -0.019193    Ay: -0.431118    Az: -0.019193
Time: 16.300000    Ax: -0.018900    Ay: -0.426270    Az: -0.018900
Time: 16.400000    Ax: -0.018391    Ay: -0.421318    Az: -0.018391
Time: 16.500000    Ax: -0.017726    Ay: -0.416312    Az: -0.017726
Time: 16.600000    Ax: -0.016986    Ay: -0.411302    Az: -0.016986
Time: 16.700000    Ax: -0.016248    Ay: -0.406339    Az: -0.016248
Time: 16.800000    Ax: -0.015591    Ay: -0.401467    Az: -0.015591
Time: 16.900000    Ax: -0.015080    Ay: -0.396723    Az: -0.015080
Time: 17.000000    Ax: -0.014759    Ay: -0.392135    Az: -0.014759
Time: 17.100000    Ax: -0.014655    Ay: -0.387721    Az: -0.014655
Time: 17.200000    Ax: -0.014772    Ay: -0.383488    Az: -0.014772
Time: 17.300000    Ax: -0.015102    Ay: -0.379436    Az: -0.015102
Time: 17.400000    Ax: -0.015625    Ay: -0.375554    Az: -0.015625
Time: 17.500000    Ax: -0.016309    Ay: -0.371827    Az: -0.016309
Time: 17.600000    Ax: -0.017117    Ay: -0.368235    Az: -0.017117
Time: 17.700000    Ax: -0.018010    Ay: -0.364755    Az: -0.018010
Time: 17.800000    Ax: -0.018946    Ay: -0.361362    Az: -0.018946
Time: 17.900000    Ax: -0.019884    Ay: -0.358033    Az: -0.019884
Time: 18.000000    Ax: -0.020790    Ay: -0.354744    Az: -0.020790
Time: 18.100000    Ax: -0.021631    Ay: -0.351475    Az: -0.021631
Time: 18.200000    Ax: -0.022380    Ay: -0.348210    Az: -0.022380
Time: 18.300000    Ax: -0.023021    Ay: -0.344935    Az: -0.023021
Time: 18.400000    Ax: -0.023541    Ay: -0.341642    Az: -0.023541
Time: 18.500000    Ax: -0.023937    Ay: -0.338327    Az: -0.023937
Time: 18.600000    Ax: -0.024211    Ay: -0.334988    Az: -0.024211
Time: 18.700000    Ax: -0.024371    Ay: -0.331629    Az: -0.024371
Time: 18.800000    Ax: -0.024425    Ay: -0.328254    Az: -0.024425
Time: 18.900000    Ax: -0.024389    Ay: -0.324870    Az: -0.024389
Time: 19.000000    Ax: -0.024278    Ay: -0.321485    Az: -0.024278
Time: 19.100000    Ax: -0.024107    Ay: -0.318107    Az: -0.024107
Time: 19.200000    Ax: -0.023893    Ay: -0.314746    Az: -0.023893
Time: 19.300000    Ax: -0.023652    Ay: -0.311410    Az: -0.023652
Time: 19.400000    Ax: -0.023399    Ay: -0.308109    Az: -0.023399
Time: 19.500000    Ax: -0.023150    Ay: -0.304851    Az: -0.023150
Time: 19.600000    Ax: -0.022915    Ay: -0.301642    Az: -0.022915
Time: 19.700000    Ax: -0.022704    Ay: -0.298490    Az: -0.022704
Time: 19.800000    Ax: -0.022527    Ay: -0.295398    Az: -0.022527
Time: 19.900000    Ax: -0.022387    Ay: -0.292370    Az: -0.022387
